LEGO,Theme,Set Number,Set Name,Release Date,Minifigures,Piece Count,MSRP,PPP,PPM,Dahlen,,,,Garrett,Mom,Dad,,
FALSE,Star Wars,75345,501st Clone Troopers Battle Pack,2023,4,102,$19.99,$0.20,$5.00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,Star Wars,75362,Ahsoka Tano's T-6 Jedi Shuttle,2023,4,589,$79.99,$0.14,$20.00,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
FALSE,Star Wars,75349,Captain Rex Helmet ,2023,0,854,$69.99,$0.08,-,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
FALSE,Star Wars,75350,Clone Commander Cody Helmet,2023,0,766,$69.99,$0.09,-,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
FALSE,Star Wars,75354,Coruscant Guard Gunship,2023,5,1069,$139.99,$0.13,$28.00,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
FALSE,Star Wars,75352,Emporers' Throne Room Diorama,2023,3,792,$99.99,$0.13,$33.33,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
FALSE,Star Wars,75348,Mandalorian Fang Fighter vs TIE Fighter ,2023,4,939,$99.99,$0.11,$25.00,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
FALSE,Star Wars,75347,TIE Bomber,2023,4,598,$64.99,$0.11,$16.25,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
FALSE,Star Wars,75360,Yoda's Jedi Starfighter,2023,2,246,$34.99,$0.14,$17.50,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
FALSE,Star Wars,75373,Ambush on Mandalore Battle Pack,2024,4,92,$19.99,$0.22,$5.00,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
FALSE,Star Wars,75387,Boarding the Tantive IV,2024,7,470,$54.99,$0.12,$7.86,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
FALSE,Star Wars,75391,Captain Rex Y-Wing Microfighter,2024,1,100,$12.99,$0.13,$12.99,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
FALSE,Star Wars,75372,Clone Trooper & Battle Droid Battle Pack,2024,9,176,$29.99,$0.17,$3.33,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
FALSE,Star Wars,75381,Droideka,2024,1,553,$64.99,$0.12,$64.99,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
FALSE,Star Wars,40755,Imperial Dropship vs. Rebel Scout Speeder,2024,7,352,$39.99,$0.11,$5.71,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
FALSE,Star Wars,75394,Imperial Star Destroyer,2024,7,1525,$159.99,$0.10,$22.86,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
FALSE,Star Wars,75377,Invisible Hand,2024,0,557,$49.99,$0.09,-,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
